Chapter,Measure,Ordinal position within measure,RG scale-degree,Heuristic scale-degree (GR),Initial / medial / final / totality,Displaced from initial? (incl. 0-duration grace notes),Match V or X,Match 1 or 0,comments,Segment onset (within measure),Segment Duration,Onsets within segment [separate by  commas no spaces],Durations [Separate by commas; no spaces,Meter
5,1,a,1,1,I,,V,1,,0,2,0.00,1.00,3
5,1,b,5,5,T,,V,1,,2,1,0.00,1.00,3
5,2,a,1,1,I,,V,1,,0,2,0.00,0.50,3
5,2,b,5,5,I,,V,1,,2,2,0.00,1.00,3
5,3,a,6,6,T,,V,1,,1,1,0.00,1.00,3
5,3,b,5,5,T,,V,1,,2,1,0.00,1.00,3
5,4,a,4,4,T,D ,V,1,,0,2,0.00,2.00,3
5,4,b,3,3,T,,V,1,,2,1,0.00,1.00,3
5,5,a,6,6,I,,V,1,,0,3,0.00,0.50,3
5,6,a,5,5,I,,V,1,,0,3,0.00,1.00,3
5,7,a,4,4,IF,,V,1,,0,3,0;2,1;1,3
5,8,a,3,3,I,D,V,1,,0,3,0.00,2.00,3
5,10,a,3,3,IMF,,V,1,,0,3,0;1;2,.5;.5;.5,3
5,12,a,3,3,IMF,,V,1,,0,3,0;1;2,.5;.5;.5,3
5,14,a,6,6,IM ,,V,1,,0,3,0;1.5,1;1,3
5,15,a,5,5,IM ,,V,1,,0,3,0;1.5,1;1,3
5,16,a,4,4,IM,,V,1,,0,3,0;1.5,1;1,3
5,17,a,3,3,IM,,V,1,,0,3,0;1.5,1;1,3
5,18,a,2,2,I,,V,1,,0,2,0.00,1.00,3
8,1,a,1,5,M,,X,0,PMEL,0,2,0.50,1.00,2
8,2,a,2,2,I,D,V,1,,0,2,0.50,1.00,2
8,3,a,2,4,M,,X,0,TPRF,0,2,0.50,1.00,2
8,4,a,3,3,I,D,V,1,,0,2,0.50,1.00,2
8,5,a,6,5,F,,X,0,PMEL,0,1,0.50,0.50,2
8,5,b,5,5,T,D,V,1,,1,1,0.50,0.50,2
8,6,a,4,4,I,D,V,1,,0,2,0.50,1.00,2
8,7,a,3,3,I,D,V,1,,0,1,0.00,0.50,2
8,9,a,4,4,IF,,V,1,,0,2,0;1.5,0.5;0.5,2
8,10,a,3,3,T,D,V,1,,0,2,0.50,1.50,2
8,11,a,4,4,IF,,V,1,,0,2,0;1.5,0.5;0.5,2
8,12,a,3,3,T,D,V,1,,0,1,0.50,0.50,2
8,12,b,1,3,F,,X,0,PMEL ,1,1,0.50,0.50,2
8,13,a,7,nan,I,,nan,nan,DISS,0,1,0.00,0.50,2
8,13,b,6,6,T,D,V,1,,0,1,0.50,0.50,2
8,13,c,2,6,F,,X,0,PMEL,1,1,0.50,0.50,2
8,14,a,1,nan,I,,nan,nan,DISS,0,2,0.00,0.50,2
8,14,b,7,7,T,D,V,1,,0,2,0.50,1.00,2
10,1,a,1,1,IF,,V,1,,0,2,0;1.5,0.5;0.5,2
10,2,a,7,7,I,D,V,1,,0,2,1.00,0.50,2
10,3,a,4,4,MF,,V,1,,0,2,0.5;1.5,0.5;0.5,2
10,4,a,3,3,T,D,V,1,,0,2,1.00,1.00,2
10,5,a,6,6,I,,V,1,,0,2,0.00,0.50,2
10,6,a,5,5,I,,V,1,,0,2,0.00,0.50,2
10,7,a,4,2,M,,X ,0,PMEL,0,2,0.50,1.00,2
10,10,a,4,4,IF,,V,1,,-2,3,0;2,0.5;1,2
10,10,b,3,3,T,,V,1,,1,1,0.00,1.00,2
10,12,a,4,4,IF,,V,1,,-2,3,0;2,0.5;1,2
10,12,b,3,3,I,,V,1,,1,1,0.00,0.50,2
10,17,a,1,1,IF,,V,1,,0,2,0;1.5,0.5;0.5,2
10,18,a,7,7,I,D,V,1,,0,2,1.00,0.50,2
10,19,a,4,4,MF,,V,1,,0,2,0.5;1.5,0.5;0.5,2
10,20,a,3,3,I,D,V,1,,0,2,1.00,0.50,2
10,21,a,6,4,MF,,X,0,PMEL,0,2,0.5;1.5,0.5;0.5,2
10,22,a,5,5,I,D,V,1,,0,2,0.50,0.50,2
10,23,a,4,6,M,,X,0,PMEL,0,2,1.00,0.50,2
10,25,a,1,1,IMF,,V,1,,0,2,0;0.75;1.5,0.25;0.25;0.5,2
10,26,a,7,7,I,D,V,1,,0,2,1.00,0.50,2
10,27,a,4,4,IF,,V,1,,0,2,0;1.5,0.5;0.5,2
10,28,a,3,3,T,D,V,1,,0,2,1.00,1.00,2
10,29,a,6,6,I,,V,1,,0,2,0.00,0.25,2
10,30,a,5,5,I,,V,1,,0,2,0.00,0.25,2
10,31,a,4,6,M,,X ,0,PMEL,0,2,0.50,0.50,2
10,33,a,2,4,MMF,,X ,0,TPRF,0,2,0.25;0.75;1.5,0.25;0.25;0.5,2
10,34,a,3,3,T,D,V,1,,0,2,1.00,1.00,2
10,35,a,2,4,MMF,,X ,0,TPRF,0,2,0.25;0.75;1.5,0.25;0.25;0.5,2
10,36,a,3,3,I,D,V,1,,0,2,1.00,0.50,2
10,41,a,1,1,IMF,,V,1,,0,2,0;0.75;1.5,0.25;0.25;1.5,2
10,42,a,7,7,I,D,V,1,,0,2,1.00,0.50,2
10,43,a,4,4,IF,,V,1,,0,2,0;1.5,0.5;0.5,2
10,44,a,3,3,I,D,V,1,,0,2,1.00,0.50,2
10,45,a,6,6,IMM,,V,1,,0,2,0;0.5;1.25,0.25;0.25;0.25,2
10,46,a,5,5,IF,,V,1,,0,2,0;1,0.5;1,2
10,49,a,1,1,IF,,V,1,,0,2,0;1.75,0.25;0.25,2
10,50,a,7,7,I,,V,1,,0,2,0.00,0.25,2
10,51,a,4,4,IF,,V,1,,0,2,0;1.75,0.25;0.25,2
10,52,a,3,3,IF,,V,1,,0,2,0;1.5,1;0.5,2
10,53,a,5,nan,I,,nan,nan,PREF,0,1,0.00,0.25,2
10,53,b,4,4,M,,V,1,,0,1,0.50,0.25,2
10,53,c,3,3,IMM,,V,1,,1,2,0;1;1.5,0.25;0.25;0.25,2
10,54,a,5,nan,I,,nan,nan,PREF,1,1,0.00,0.25,2
10,54,b,4,4,M,,V,1,,1,1,0.50,0.25,2
10,55,a,3,3,I,,V,1,,0,0.5,0.00,0.25,2
10,57,a,4,4,F,,V,1,,0,2,1.50,0.50,2
10,58,a,3,3,I,,V,1,,0,2,0.00,0.50,2
10,59,a,4,4,F,,V,1,,0,2,1.50,0.50,2
10,60,a,3,3,I,,V,1,,0,1.5,0.00,0.50,2
10,65,a,1,1,IF,,V,1,,0,2,0;1.75,0.25;0.25,2
10,66,a,7,7,I,,V,1,,0,2,0.00,0.25,2
10,67,a,4,4,IF,,V,1,,0,2,0;1.75,0.25;0.25,2
10,68,a,3,3,IM,,V,1,,0,2,0;1.5,0.25;0.25,2
10,69,a,6,6,IM,,V,1,,0,2,0;1,0.25;0.25,2
10,73,a,1,1,IF,,V,1,,0,2,0;1.5,0.5;0.5,2
